tweet,anotasi1,anotasi2,anotasi_final
"mungkin bakal agak panjang ya.. tapi gapapa deh. first impressionku ke chuuya (2 tahun yang lalu): Cowo eksekutif PM yang kaya jurig tantrum, tereak-tereak mulu sana sini. (tapi aku anggep ability-nya keren abiez woah gila cuy) hal-hal singkat buat deskripsiin chuuya: (cont..)",not hate,not hate,not hate
"USER Kalao basa sunda mah.... Dasar sia belekok samidin, haram jadah bangkawarah borokokok jangkarkehed teh mantog tah maraneh",hate,hate,hate
"Kakara disentil sakitu wae pembelaan na mamawa komplotan berjamaah, tah aing ku antek-antek sia ditincekan nepi ka teu jadi aing muka agensi. Kalem weh teu sugan bocor kaditu kadieu siga sungut sia!",hate,hate,hate
"Wkwkwk leon koplok, gw kira dia akan ngomong mencari cinta di mata mu.",not hate,not hate,not hate
"USER Emang geh kehed eta si elon, masa urang kudu pindah kadieu kaditu. Hook iyeu...",not hate,not hate,not hate
bahan packing nya abis... gimana aing mau packing 😭😭😭,not hate,not hate,not hate
gue kanjut (kaget dan terkejut) sampe berak dua kali jir ah,not hate,not hate,not hate
ga kuat anjir ini aing mau tidur banget??,not hate,not hate,not hate
"Anjing takut bgt sm rama jjur, knp si GA LANGSUNG GAS AJAAAAA CIUMAN 10 JAM??????????? Dasar emng wibu belegug 😭",not hate,not hate,not hate
USER USER Yok bang main ps bertiga sama jurig itu biar tau maunya apa,not hate,not hate,not hate
"Njr td ada mutual abis kelock, trs baru inget aing jugaa. Moots, pada ke unfoll gaa? Sorry bngt ini kelock tadii https://t.co/1nQ771Rmz4",not hate,not hate,not hate
"USER USER USER Knpa ? ,.. gak ngerti lumah gausah ikut2an komen ,.  Gak nyambung koplok ,  elu yg nyamain surga sama rumh bordil ,... baca yg bener trus lu kunyah tuilsan guah ,.",not hate,not hate,not hate
"USER USER USER Dasar jawa, cangkem jeung cangkem weh nu di uruskeun teh. Padahal urang mah ngetik, lain cangkem

Heh jawa, ai sia kunaon make emot seuri ? Aya nu lucu emangna ? 

Dasar orang jawa belegug",hate,hate,hate
"USER oh kanjut tu kontl, baru tauh😭😭",not hate,not hate,not hate
"USER USER USER Datang ke rumah gue,seblok pake kuah cuankay beungeut sia",not hate,hate,hate
USER NGENTOTTT TAPI BENER AING GASUKA KENAPA BENERRR ANJGGGG😭😭😭😭,not hate,not hate,not hate
"Ayo aja murid2 ku pada ngejoki tugas biologikuu 😊😊 ga ada beban konten dan mengurangi beban kognitif. Ga ngerjain sendiri ya gabisa jawab, gabisa joki, gajisa liat brainly 😊😊🙏🙏 sama sama syg lebok teu sare teu bisa joki",not hate,not hate,not hate
"Terus mun teu di klaskon kudu kumaha emng? 😂 padahal klakson kalo konteksnya kayak gini mah ya normal lah, da rek nabrak pisan, ini mah si bapak kumisnya we anu bedegong. Semenjak viral anti klakson di lampu merah, jdnya stereotip orng bdg teh anti klakson, hoream 👋",not hate,not hate,not hate
"USER Sopir angkot anu ngamuk pedah ongkosna kurang, santai weh anjing mun kurang tinggal ngomong kirang A"" lainna kalakah tantrum.. Lebok tah quote dina stiker..""",hate,not hate,hate
"meskipun banyak yang dikeluhkan tapi berkat gawe disini alhamdulillah bisa saving, checkout shopee, jajan, ngonser, jelong-jelong. kadang lupa bersyukur padahal posisi ini yang mungkin orang dan aing yang dulu pengenin, even temen divisi sebelah aja kadang ngiri",not hate,not hate,not hate
Bacot banget antisemit antisemit Beungeut ah,hate,hate,hate
IKUT CAMPUR MULU LU DIEM DEH FANDOM LAIN GAK DI AJAK YA KEHED,not hate,not hate,not hate
"USER jleb... habis liat skzflix, anak kesayangan aku jadi jurig T-T",not hate,not hate,not hate
"USER awkwkwkkw njir keinget gua jaman banjir. trabas wae akhirnya jatuh ama emak karena jatuh dari aspal😂😂 alias terlalu minggir. emak nangis, gua : mending bantu aing angkat ni motorr maak daripada nangis"". fyi motornya vario gede bjir kaga kuat gua sendirian""",not hate,not hate,not hate
"ㅤ ㅤ — Parfum jurig ieu teh. Kok jurig? Karena nama-namanya, ada mbak kunti, om poci, mbah dukun, neng sundel bolong, dan kuburan. Thyia udah coba semuanya, dan I choose mbak kunti dan neng sundel bolong. Parfum mbak kunti sendiri khas banget bunga melati, seger tapi — ㅤ ㅤ",not hate,not hate,not hate
"Udah gakeitung gue digituin, awalnya maklum lama lama cape sendiri kek gue doang yang exited. Alah puki kanjut ngentot loooo anjeng",hate,not hate,hate
USER Band punk RUNTAH antara taun 90 an kalo lagi manggung sering ngebawain lagu yang judulnya NUGELO! Tah ieu kalakuan na,not hate,not hate,not hate
KATA GW MAH STOP NYEBUT BANGTAN YA LO MHJ ASU BABI BANGSAT KEHED MONYET SIALAAAAAANNNNN ANJING JUANCOOOOKKKKKKKKKK,hate,hate,hate
Si koplok mau gue gebug pala nya,not hate,hate,hate
"Ngeriiiii 😄 QT theT4ntryS1: Setan, vampir ampe mak lampir pun pada salim ama pak #Ganjarpranowo 🤣🤣 Dasar jurig Bandung mh meni resep pisan mun di ajak selfie th 😝 1nm2C0sfuB

 Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Buruh Naik Kelas",not hate,not hate,not hate
"USER USER Makin jijik gue sama si koplok gibran bocah tantrum perusak demokrasi demi sahwat bapaknya alias si jokowi yg nafsu berkuasa, gue sumpahin hidupnya ga bakalan tenang seumur hidup...",hate,hate,hate
"Aing sewa apartemen modal duit ngemis juga bisa. Spesial amat lu mbak ngrampok duit 30juta, segitu miskin dan rendahnya harga diri kau? 😂",not hate,hate,hate
USER Kunti booggeeelll anak jurig gemes banget 😂😂,not hate,not hate,not hate
USER USER akhirnya dia bisa masak yg lain bukan nasi goreng aja 🙏🏻🙏🏻 aing bangga bgt dir maneh sekarang udah jadi masterchef season 12 😔🫰🏻 USER,not hate,not hate,not hate
"pad! kampanye event jurig joget di gerlam tadi sore ngehibur bangett gua yang abis stress praktikum😭, btw ada yang ngevideoin ga siii???",not hate,not hate,not hate
USER Anjir aing kira remed mata pelajaran gitu nyaranin lagu buat belajar. Ternyata untuk spotify wrapped. Orang2 tuh punya standar gimana dah soal musik? Kan selera masing2.,not hate,not hate,not hate
USER Yah udah di hapus sama si jurig itu,not hate,hate,hate
"USER USER Kalo Prabowo menang 58% , misal wakilnya AHY atau Erick Tohir gitu. Gw mungkin masih percaya. Lah ini wakilnya Koplok begitu planga plongo, ya kalo ga pake unsur kecurangan ya mana mungkin.",hate,hate,hate
USER partner yg suka pedes tp ga jd jurig sambel &gt &gt &gt &gt &gt &gt,not hate,not hate,not hate
"rame aing teh nontonin drama mastersep, padahal mah teu nongton",not hate,not hate,not hate
"USER ADANYA BELALANG 😭😭😭 masuk dari taman.. trus manjat kelantai 2 trus tiba dibalkon,, aing teh kudu ottokee",not hate,not hate,not hate
"btw sumpah gaada aing dengerin hindia tulus dll itu sumpah, buka spotify dengerin si pamungsat doang https://t.co/GEE2CyjeD1",not hate,not hate,not hate
"Ngalawan ka kolot, ges ngarasa pinter maneh?"" Ya emang aing pinter, mau apa? Dan sia gausah sosoan paling berkontribusi dalam biaya pendidikan aing karena dari SMA sampe skrng kuliah AING BAYAR SEMUA NYA SENDIRII !! sia ga pernah bantu apapa krn kepincut lonte !!""",hate,hate,hate
USER Aing blockir all mantan. Ga mau ada urusan apalagi tar ada urusan sama istrinya. Iiiiuuuhhhh,not hate,not hate,not hate
"demi dah ga suka banget ikut urusan orang, mending aing scroll tiktok, twt sampe mata molor. kalo bisa sekalian ga denger kabar/gosip apapun",not hate,not hate,not hate
Gue MARAH banget liat anak kecil disiksa begini sama SUSTER yg notabenenya orng luar yg udh dikasih kepercayaan buat ngejaga anak tp malah NYIKSA DHSHSHSHSHSHSGAG KOPLOK,hate,not hate,hate
USER USER USER kamu orang mana? Tau kehed gak?,not hate,hate,not hate
"/crnge nao si paling bner kalo ke mahasiswa lain, terutama yg males biasanya dingin, songong, sok bener. tp klo ke zhav (yg innalilahi malesnya lebih2) lgsg ututu bayiku yg gumush *cubit pipi, instal pager bayik* mothering mode 100% km jangan kemana2 ya nanti dimakan jurig 🧑🏻‍🍼",not hate,not hate,not hate
“Km kenapa tidur subuh terus ih?” Hampura aing mah betmen ada kota yang harus ku jaga,not hate,not hate,not hate
USER Sirik lu...gak mampu ya kayak dia...wkwkwkw...koplok,not hate,hate,hate
"saingan yang suka bias kalian artis? ah gak main, saingan fans joshua sama jeonghan lah, jurig",not hate,not hate,not hate
USER GW MAU MUDIK KE MAGELANG KOPLOK.,not hate,not hate,not hate
hubungan masalah ini sm 'army si paling sempurna' apa pls? gjls lu koplok,not hate,hate,hate
USER Wow...sebagian anak bngsa kita ingin mereka seperti ini...seyeeeemmm....kek setan atau jurig gitu..😠😠😠😈😈😈,not hate,hate,hate
USER USER mana jastip? aing mau kalo semisal ada duid,not hate,not hate,not hate
Jangan salfok ama tangan aing yg buluk yah😃emang udah begitu dari orok,not hate,not hate,not hate
sakura cuman butuh 4 jam buat bikin ini? yang benar aja😭😭 telaten bgt deh bias aing 😭 https://t.co/xIr3JZmrho,not hate,not hate,not hate
"Ss an alamat numpuk di galeri untuk cobain kuliner yang ada di review sama koko kuliner, tinggal rayu aa aing dulu ini mah",not hate,not hate,not hate
USER USER USER jelaasss emg bocah koplok kwkwkw tp anehnya starter mulu,not hate,hate,hate
USER Selama ini lu temenan sama kanjut itu?,not hate,hate,hate
bajigur aing lupa akun rant 😞 masa bikin akun baru…,not hate,not hate,not hate
"Aing 25+ yang masih main gencin, bawa webtun dan nontonin anime dan main CA. Kirain dah paling tua. LAH TERNYATA TANTE GUE BACAANNYA SAMA KAYA GUE NJIR 😭😭",not hate,not hate,not hate
"Ngewarnanya mah cepet, asli cepet Apalagi ini cmn rambut+kulit Cmn ngline art ny bjir, aing ampe pusing🙄 tabs reference aya 1 di ibis, 1 buka pinterest, 1 lagi dhp🙄tapi hasilnya memuaskan sih hmmmzzzz Tapi belom mau diaplod, masih pengen gambar 2 pose lagi yg ada gosatnya",not hate,not hate,not hate
USER dan aing selalu dpn bis mane menunggu ajakan mane pipis,not hate,not hate,not hate
"Iya lagi, gaada yg menarik juga si idup aing",not hate,not hate,not hate
"USER ngakak banget, di gondol jurig 😭🤣",not hate,not hate,not hate
USER Eh lu sadar kah itu kanjut serigala nya keliatan,not hate,not hate,not hate
USER Banyak korban nya ternyata..gila banget kehed emang,not hate,not hate,not hate
"USER YaAllah the rill belegug siaa , emg bnr dah loncat ae.",not hate,hate,hate
aing cuma bisa senyum dikit baca balik chat tadi. Kumaha damang?🫠 https://t.co/gvgBVTuiC5,not hate,not hate,not hate
Kok bisa gue pacaran sama orang koplok kayak dia. https://t.co/aa7kC23qYV,not hate,hate,hate
USER Niatna mah ek estetik estetikan tapi geus jadi mah jiga jurig jarian goblog,not hate,hate,hate
"sampe nangis kejer, ke kamar ortu, tapi masalahnya anjjj itu jendela atas belum aing tutup, tapi masih mati lampu, kumahaa ieu 😭😭😭😭",not hate,not hate,not hate
USER pls teman teman stop bu11y si jurag dan jurig,not hate,hate,not hate
USER USER kang kehed mah emang ngeres 😅,not hate,hate,hate
Wkwkwk jurig gak ada harga dirinya,not hate,hate,hate
KAELLLLL WOY INI SUMPAH SERU BANGET WOYYYYYYY. WADUH BIMA KASIAN ADUHHH JURIG BABIK EMANG BIKIN BIMA JDI GITU,not hate,not hate,not hate
bisa gak si lu pada klo ada trauma ato kesedihan grgr bias lo itu jgn malah diluapkan ke idol yg lain alias gw capek bgt baca semua ketololan yg berlalu lalang 😭 lu kalo mau protes protes ke pihak pemrentah aja napa kok malah marah2 di sini ya gak bakal nyampe lah kehed 😭,not hate,not hate,not hate
Udah kaya apaan bae beda dunia. Dikata gue jurig apa ya wkwk 🤣🤣🤣,not hate,not hate,not hate
"USER dia tuh lagi ngegendong jurig loh, tapi kok bisa selucu ituuuu heran 😭🙏",not hate,not hate,not hate
USER Badan macam jin indosiar kelakuan lebih lebih dari jurig 🫣,not hate,hate,hate
"Maaf bgt mutual mungkin muak liat twt gw Tp kek jujur sgt harepin konser ini karena, KONSER AING GA BERES dan kek ga ada effort gmna dri pihak sana tiba2 dianya kan yg bubarin Eehh yg jd harapan malah dibkin ovp Smoga ga berkah jualan kau kimak",not hate,not hate,not hate
pikiran gue dulu gini ajg cuma di sia sia in aja sm elu dasar jurig dedemit https://t.co/5NUobXz3na,not hate,hate,hate
USER anjing nih emang club lama lama blundernya ga ketolong ngehe sia kehed,not hate,hate,hate
"USER Fron kadang maraneh Aneh,suganteh kanjuruhan di pke pelajaran ku aranjeun,tetep we nu di salahken teh batur,ges pssi lah,polisi ngan jurig nu te disalahkeun.kuduna urang nu intropksi dri sebagai suporter bola",hate,not hate,hate
"USER HEH🫣 astaga wkwk aing tau ni pas bgt dia baru lewat explore ig aing &amp kepsyennya aku pergi ke London"" masaaaaaaaa. au ah gelap mls bgt""",not hate,not hate,not hate
"Eh koplok temen ak ada yg lgi ngomongin film thai trs blg ""film ny si anci"" trs ak kyk ""hah kapan gue maen film thailand"" trs dijawab ""23.5 maksutny."" Makin bingung ap hubunganny TW G MREKA BLG AP???? ""y itu film lesbi. Lu kan lesbi"" AP MKST",not hate,hate,hate
asli kaya dikejar-kejar jurig serem bgt!! kenceng poll beliau larinyaaa,not hate,not hate,not hate
"Mau sibuk ge kalau gak ada moodnya, males banget. Udah buka wa, udah buka sps, balik lagi aing ngecek kkt, terus tutup semua aplikasi udah paling bener",not hate,not hate,not hate
"TP YAH AING TUH NIAT NYA KEK CUMA SARKAS DOANG KAN KALO MEREKA KESINDIR TERUS MARAH GAJELAS BERARTI EMG NGERASA AJG😭😭😭😭""",not hate,hate,not hate
gimana aing mw bapeer liat tangyu..... d kasihnya begituu terus.... 🙄🙄🙄 https://t.co/laZDa6huKU,not hate,not hate,not hate
kayak babeh babeh yang pagi pagi suka ngopi pakek sarung duduk kakinya dinaikin trs garuk garuk kanjut,not hate,hate,not hate
USER Tp lu jd kayak jurig yg di the ring de hild,hate,hate,hate
"Ini kapan nyala listrik heii, dah mulai malem, gue disuruh kenalan ama jurig jurig daerah rumah gue apa gimanaaa😭",not hate,not hate,not hate
"USER USER Bacot lu dari maren bulak balikin fakta mulu...kita"" kagak percaya media Barat...kehed sia bangsatttt",hate,hate,hate
"Yang ngtain Rashford lu bego asli, klo pun masuk dia offside KEHED!!",hate,hate,hate
"USER Bisa apa Shamsir Ali untuk Indonesia, itu Mars Siliwangi, beliau walau urang Sunda tapi pernah menjadi Panglima di Makasar, beliau peletak dasar organisasi massa pertama di Indonesia, BPC Siliwangi bersama Jenderal Nasution. Dasar antek Amerika pih, dasar belegug",not hate,hate,hate
USER yeee KOPLOk KGK tAU GW WKWKWKKW :v semua terjadi begitu aj,not hate,not hate,not hate
Koplok udah abis 4 bungkus hari ini😭 https://t.co/60Nvq1dpNC,not hate,not hate,not hate
"USER Komen bawah kegocek sama jurig yg pake badan homoannya"" 🤣🤣🤣🤣🤣🤣😭😭😭😭""",not hate,hate,hate
"USER Aing pernah. Gara skripsian ga kelar"" Udah rasanya nggk kuat, capek bngt. Pdahal udah dibarengin sholst tepat waktu, sunnah semua dilakuin, hampir gak pernah maen. Pas giliran udah lulus, dr rumah dibilang kalau udah dimintain sama orang pinter yg paham, makanya bisa lulus..()""",not hate,not hate,not hate
"USER Bus A soalnya ada Megumi sm Maki lagian tkut bejir bus B ada mahitod, kepegang dikit berubah jd jurig",not hate,not hate,not hate
USER Kaget banget kirain yang dibelakang jurig 😭😭,not hate,not hate,not hate
USER doain smoga ak kesurupan jurig rajin yh 😔 trimakasih warga binjai slebew 😔🤟🏼,not hate,not hate,not hate
USER Desek atuh kehed geus nyaho mepet h-2 tambah ke aplikasi rudet goblog can ngantri can beakeun dasar aranjing,hate,hate,hate
"Sejak ada fitur like sg, Mas Pacar sering ngelike sg temen cewenya entah selfie atau yaa emang foto orangnya biasa. Awalnya panas kan saya sebagai cegilnya mikir 'SI KEHED APA MAKSUDNYA', lalu ada satu waktu sgku di like dan abis itu aku ngga panas.

Ternyata aku hanya iri😊🙏",not hate,not hate,not hate
muak bgt dah gw klo ngomongin outfit jomplang bgini kehed sia sm https://t.co/jFFEJIrP4w,hate,hate,hate
USER cek runtah runtah yg sdh ak kumpulkan ini nder https://t.co/FDrPWZ8N6Q,not hate,not hate,not hate
USER Iya sip lebih hati²..lebih serem manusia dr pd jurig ya😅,not hate,not hate,not hate
"melon lagunya apa tau, dikitautentikasi, kesalahan"", loba kahayang sia koplok""",hate,not hate,hate
"Ngomong nya ngerti barang, tapi ditanya ini itu teu apal. Cek aing mah mending jujur we teu apal",not hate,not hate,not hate
USER Masya Allah Adem liatnya.. Eh tapi yg punya lapak kayaknya ke blingsatan.. Nama muslim banget murtadho tapi kata2 nya kaya gak ada tanda iman yg nancap di hati.. Udh kaya jurig aja 😃,not hate,hate,hate
Iyaakkk.. matahari mulai muncul dan aing blm tidur wkwkwk,not hate,not hate,not hate
tl gue pada marah marah semua ke wasit koplok,hate,hate,hate
USER USER KAN UDAH GUE JAWAB GAJADI KOPLOK.,hate,not hate,hate
"Tibaheula asa acan pernah kasurupan, teuing urang na nu kuat teuing emang urang jurig na kitu 😕",not hate,not hate,not hate
ternyata di percakapan kemaren si cowo sering ngomong Sunda ini ada nyebut2 boloho jadi dia transletin buat aku biar ga bingung 😭😭😭 aduh lawak banget anjir,not hate,not hate,not hate
