tweet,anotasi1,anotasi2,anotasi_final
"Jaganen Lambemu
Jujuro laku lan tumindak mu
Wong kakean ngomong
Biasane luput 
Soko kekudangan
Opo meneh sok keminter 
Omongane sundul langit
Wong Urip ora ngijeni
Diatas langit masih ada langit
Wong Indonesia C. I. A .
Dasar Pancasila 
Nasionalis Tulen 
Patriotik Sejati",not hate,not hate,not hate
"Asu adalah ketika kesayanganku chat, tapi notifikasi nda nongol. Udah lewat sejam pas buka tau² ada chat, pas udah dibales eh beberapa menit kemudian notifikasi nya nongol 😭😭😭😭",not hate,not hate,not hate
"Baser ndasmu Bledos,buktikan klo gw baser njing ? Cari beritanya kasus ini,baru nuduh org baser lu,biar gk keliatan baru keluar dr Goa saking gk update nya,dasar org stres lu https://t.co/bX0Po4rSwq",hate,hate,hate
genndeng yo sumpah gendeng iko mek kacek 8 mnt saiki 10 mnt,not hate,not hate,not hate
Ini kayanya gue yg gendeng blang ni drama kurang seru,not hate,not hate,not hate
Anjg ak kepikiran bat stiap hari disisi lain ak tkt dikit tp kek fuck shibbal aku pengen judul dan metode seperti itu kontol 😭 memek goblok,not hate,not hate,not hate
USER BENER TOS DULUUUUUU 😭😭😭😭 cah lanang gendeng cogil tapi ak cingtah,not hate,not hate,not hate
USER Ora o protes nk panitia matane ora PICEK yo ttp reti endi sik finish sipik. Tolol kok jadi kebiasaan,hate,hate,hate
lupa blok akun yg ini 😄😄😄 klo uda pergi ya yauda pergi aja gt gausa sok sok nanya apa kabar asuu asu nyrimpeti ati wae😄😄 https://t.co/ljuI88aHqO,hate,hate,hate
"USER USER lo jagoan njing tolol2in orang disosmed?? pake bego juga lg si bangsat, lo ga baca disitu ada kata SEMISALKAN kontol?? sok pinter tp mata kaga bisa baca tai",hate,hate,hate
USER YA GAPAPA GUE KAN GEN ASKING KONTOL KIRAIN JEMBUT LO PERNAH DITARIK,not hate,hate,hate
"USER USER Lebih baik ada maha karya nya, dr pd Cok celeng"" cuma bisa kasih komentar buruk aja, iri bila junjungannya kalah prestasi dengan karya pak Anies🤣🤣🤣""",hate,hate,hate
"USER Kyai Telek Onta budak babu jongos kadrun keturunan imigran gelap Yaman gerombolan #IMAM_BESAR_CHAT_MESUM🤕 #Kyai abal-abal #cangkem_menir😕 Blasss ngga ada ilmunya, kapan NGAJI_KITAB.🤔 Ora sudi ngetutwuri budak jongos kadrun.🤕 #PENCERAMAH hanya ngejar-ngejar #BERAS_GRATIS !😕",hate,hate,hate
GW MUTE WORD SEDERHANA LAH JANCOK,hate,not hate,not hate
"USER USER Kalau Sawah dengan Hasil Padi yg beratus Ton itu Prestasinya, Ganjar dan bukan Prestasinya Bupati atau Wali Kota,🤣😂 Akan Tetapi pada Saat Jalannan RUSAK SONTOLOYO BEGINI,,itu bukan salahnya Ganjar itu Tugasnya Wali KOta atau Bupati,😂🤣🤪😂🤣 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩😎😎😎😎😎""",hate,hate,hate
USER Yahh.. dasar babi. Dia bela leluhurnya. Jancuk jancuk,hate,hate,hate
"USER he!! mas e!! kl ngaku laki tu ya diakad!! diminta baik2 ke ortu dan keluarga besarnya, ga dibawa kabur gt! tp mengingat msh kelas 1SMA ya mbok biar kelar dl sekolahnya, 2-3th ga akan selama itu! cen utek buntel kopet",hate,not hate,hate
USER Kur... Kur... Mata loe picek yaaa,hate,hate,hate
"USER Konsep love myself nya itu, kan mereka jd BA love yourself campaign dr WHO itu kan. Pdhal ya sbnrnya kan ga dipatenkan, semua org boleh aja kan kasih nasehat love yourself, emg pada pekok sih 😂😂😂",not hate,not hate,not hate
HUOHUO GILAAAAA tracenya gendeng banget baru mulai battle udah bisa heal 😭😭😭😭😭😭😭😭🤏🏻 (tidak pernah se auto ini bjirr),not hate,not hate,not hate
"USER USER Lihat Kasus di Belitung Sulut,untung dpt diatasi. Coba kalau merembet Ke : Ambon,papua, Sumatera &amp Indonesia Timur Lainnya,dimana KONSTITUSI,DEMOKRASI+Peraturan Menlu yg SONTOLOYO itu dpt membuat PERPECAHAN DINEGARA INI,NEGARA INI dimiliki oleh 6 Agama bkn 1 Agama,Catat itu bro🫡",hate,hate,hate
USER seng sijine emang gendeng maneh,hate,not hate,hate
USER sm s-nya tuh emang silit,not hate,not hate,not hate
USER Waduhhh ini berat bgt kalo mau di jual mending keep aja soalnya di muka mata mark jadi picek kasian😭😭,not hate,not hate,not hate
USER Jaman sulit apapun dilakukan walaupun harus jilat silit yg penting jadi duit...bukankah begitu boss??,not hate,not hate,not hate
"USER Baru kali ini ada capres kalah nyalahin bansos, dasar pekok.😅",hate,hate,hate
USER USER Depan bapak mamak kau pun ayok kontol,hate,hate,hate
USER Digibranin sama BAWASLU. Dasar picek,hate,hate,hate
"USER Masih ada yg bilang hamas teroris? Orang indo jg ada yg masih bela israel? Pancen MATANE PICEK""""",hate,hate,hate
Kalo gada mereka keknya sy sudah gendeng ra konangan https://t.co/HqBc7SyT1F,not hate,not hate,not hate
udah empat hari ga denger orang misuh jancok,not hate,not hate,not hate
serba serbi event nostalgila: - maju mundur mau berangkat apa engga soalnya badan meriang wkwk - nekat berangkat soalnya kpn lagi nonton RTF cok - parkir 10rb jancok larange - sampe venue jam 8 ternyata molor 2jam dah gk kaget - selama event afk alias gk kuat badan lemes panas https://t.co/XFhXenVsWL,not hate,not hate,not hate
Iya dulu pas jaman orba semua jg pada tahu siapa yg pasti menang pemilu &amp siapa yg jadi presidennya Makanya orba di tumbangkan oleh gerakkan mahasiswa. Masa jaman2 itu mau kita ulang lagi dengan cara2 yg hampir mirip orba ? Gendeng aja sih kalo itu terjadi. #OrdeBaruReborn https://t.co/fv0YOckDgw,not hate,not hate,not hate
tuhan ciptain hati buat dijaga bukan disakitin yaa jancok,hate,not hate,hate
terimakasih november lu kontol bgt sumpa gw gapaham lg,not hate,hate,not hate
yg mau menerima aku yang gendeng,not hate,not hate,not hate
SUMPAH dari rank 3 tbtb keluar GA MASUK AKAL BGT JANCOK,not hate,not hate,not hate
Tapi 1 Oktober tahun wingi okeh wong tuo kelangan anak mergo gas air matamu.,hate,hate,hate
USER Ada yang bilang kirik kapusan asu,not hate,not hate,not hate
USER Dasar doktr anjiiing nyocot wae lambemu,hate,hate,hate
USER Ya elah Giman Gemblung sampe segitunya… capres ente klo menang jg tetap aja ente Gembel,hate,hate,hate
mana kebiasaan bat kuota masih segiga lebih tp udah pending mulu gendeng im3,not hate,hate,hate
"Nyekel cash boros,nyekel Mbanking luweh boros, ora nyekel opo-opo malah plola plolo kyog wong mendo. Trah seng bener ki gor nyekel iman dan takwa tok...",not hate,not hate,not hate
"USER yang ngatain hamas terrorist, sini tak sumpelane cangkeme gawe pelok e pelem",hate,hate,hate
"Tadi dijalan aku dah mikir, apakah mulai skrng aku panggil yoshi bestie aku aja ya, biar hatiku gak broken banget ntar wkwkwk pekok ah tau gila🙃😪😩",not hate,not hate,not hate
"Rapot SD due Rabu, sisa 5 anak. Rapot SMP/A sisa 3 kelas, due Rabu minggu depan. Aku paham bgt kapasitasku untuk membangun kebiasaan baru. Perlu pelan-pelan dan dengan pendekatan kasih sayang 🤗🥰😇 Kalau pendekatannya, Dasar males gitu aja nggak bisa!"" takut gemblung lagi 😂""",not hate,not hate,not hate
USER yg bikin lbh nyesek bagi aku tuh dia bilang ini gak sampai seminggu setelah ibu kandungku meninggal 🙃 gendeng emang,not hate,not hate,not hate
"USER MENTERI PEKOK DUNGU LONGOR, ANDA MENUTUP ANAK BANGSA UNTUK MENGIKUTI PENDIDIKAN TINGGI DASAR DONGOK😂🤣😂🤣😂🤣😅",hate,hate,hate
yha beli gorengan aja ga mampu bayar lu sok2an rendahun orang dasar wildan akbar pekok,hate,hate,hate
smua pada kaya kontol knpa ya heheheh,not hate,not hate,not hate
USER USER Ayo dong komisaris sontoloyo bongkar kelurga USER yang LGBT. https://t.co/6ZTEOxwOkm,hate,not hate,hate
"Bos gue liat gue rehat dikit aja itu si nesa free, kasih aja dia"" COK GUE ISTIRAHAT COK JANCOK. Gue mau makan siang dibilang ""yaudah sana cepet makannya, kita meeting jam stgh 1"" COK WASSSSYUUUU. Blm lg temen gue dibentak2 krn ga jawab wa pdhl lg jam makan siang... Kek wow""",hate,not hate,hate
USER Asli jancok kau gak punya akhlak jancok. Bangsat memang. Dasar gak ada akhlak. Bangsat!!!!,hate,hate,hate
USER dah sekarang.jadi pengamat sosial saja..daripada pengamat..sepak bola...lambemu lunyu cuk...dibales..merasa dizalimi..dasar dancukkk,hate,hate,hate
Treasure pulang aja anjing lu curangin bego gue curiga besok perform kalian dimainin anjing mnet jancok,hate,hate,hate
BANGGA BGT W SAMA PERFORMMYA SEVENTEEN KEREN BGT ASU,not hate,not hate,not hate
USER USER maksudnya belatung yang ada di silit,not hate,not hate,not hate
"USER Bosok lak yowes , akun provokator Ngajak berangkat perang ini itu tapi dia sendiri ongkang2 kaki di rumah",hate,not hate,hate
"USER USER USER USER Jd bkn bpk loe aje yg bisa bikin emak loe hamil! Terbukti cuma kaffir yg bikin semuanya lbh berguna! Yg ane salut tuh si kakek https://t.co/mG87aDU28p yg nemuin gundhulin mmx krn belio ngerasain ngemut mmxnya si bocil yg msh gundul, makanya kaum cewe loe disuruh gundhulin jembut",hate,hate,hate
"USER USER USER Performa pelayanan publik dibandingno karo individu, ga masuk blas spesies siji iki. Wes ga ketolong pola pikirmu cok. Sing 100% yo jelas ga onok, tapi ga kudu toleransi sejam pisan. Sejam iku teko suroboyo wes iso nyampe mojokerto. Gendeng ae ditoleransi raimu.",hate,hate,hate
Please lah anjing siapapun yang ganggu orang lagi ngewe sama masku gua sumpahin jomblo Ampe mati anjing.. Gk terima asu pantek ngentot kontol hiks.. udah enak dapat moment malah berantakan gini.. Anjing lah orang sagapung gini ada ajha yang rusakin mood..,hate,hate,hate
"Pengeluaran 1 bulan segini anjing💀😵 nnti minimal kalo udh kerja gaji lu 7 juta deh jing, boros bgt cok, beneran seboros itu kek anak pejabat taek https://t.co/w7oHBNtUgF",not hate,not hate,not hate
USER USER USER Bedakan cuk petugas partei itu bukan petugas ketum partei goblog di tugaskan oleh partei tuk bangsanya pekok,hate,hate,hate
USER paan dah cumana bayangan doang padahl cih gak gak iri kok paan dah dih idih DIH 😭😭😭😭 jancok lah malah lewat di tl mana pas banget di jam jam ingin pacar fak,not hate,not hate,not hate
USER Kenyang mempunyai makna yg luas bukan hanya urusan perut saja. Dasar  USER  otak pekok.,hate,hate,hate
"USER Sepertinya Partai Sampah Indonesia terpapar virus tong kosong, akibatnya semua anggota jadi gemblung semua.",hate,hate,hate
"ini bukan wrio cok jancok asu kontol, dasar AI",hate,hate,hate
USER GUA SEBULAN FULL DJ ASU LAMA PLS MALU BGT ANJJJJJ PEPEK,not hate,not hate,not hate
knp ga kirim sendiri?? gapunya duit ya?? mba tau jancok ga??,hate,hate,hate
USER yang suka sama gayanya matanya picek kali ya,hate,not hate,hate
"Petaninya lagi pada susah dapatkan pupuk benih dll, sementara ini orang malah makan habis 3 juta per hari.

Dasar SYL Jancuk",hate,hate,hate
"USER Tua/usia lanjut sudah pasti. Tapi menjadi dewasa pilihan.

Dasar tua KOLOT. Jancok",hate,hate,hate
USER Yg bener itu cangkeme Gibran mencla mencle... Yg bener cangkeme Gibran angel cekelane... Yg bener rakyat Indonesia wes MUAK sama Drakore pakde..!!,hate,hate,hate
Butuh lonte haus kontol yg suka dilecehin sini ke DM kirim foto kalian biar gw lecehin sama disiksa pake kontol gw siiiini #chatseks #chatsekskasar #chatsekscerita #chatseksbrutal #SANGE_AAAAAAAAAA #SANGE_AAAAAAAAAA #sangeberat #blasphemy,not hate,not hate,not hate
"USER Ngomongin investasi gajelas mulu!😏
Plis deh, coba urusin kebutuhan dasar buat bapak2 ini utk keluarganya.
Jangan sampe mereka jd stunting yg berakibat otake jadi pekok lalu suka nipu orang pake ijazah palsunya😭 https://t.co/2Wl6eTHZBm",hate,hate,hate
JANCOK TERNYATA GW YG KETINGGALAN FAAAKKKK,not hate,not hate,not hate
USER dm gua terakhir aja gak lu bales joel asu,hate,not hate,hate
pegang pegang sendiri salting sendiri orang gendeng https://t.co/jscB3oUJxX,not hate,not hate,not hate
"Ternyata aku ada ditahap lebih tenang ngefans ke penyanyi western drpd idol kpop wkwkwk

Dasar zionist pekok dikira ak bakal jadi fans fanatik apa yg tutup mata kalo idolnya collab ama kalian dan tone deaf 👎👎👎",hate,hate,hate
dasar cowo goblog asu temen gue diputusin alesannya bosen monyet. mana abis itu semua sosmed di blokir oalah jancuk tenan. kok bisa segampang itu su? baru 1 bulan nyeeeet. kesel bat gua dr kmrn temen gue jd murung terus. dia msh denial diputusin. fakyu,hate,hate,hate
"USER Rakyat yg mana ? Sebentar lagi si USER lengser, buktinya skrg banyak masyarakat Indonesia yg sudah benci liat kelakuannya. Otakmu budeg, hatimu picek 👎",hate,hate,hate
"USER USER USER USER USER USER Logika paling rendah kalau elu minjemin duit ke orang,lalu elu tahu orang yg elu pinjemin duitnya buat hura2 dan bikin dia bangkrut wajar gak elu kuatir dia kagak bisa bayar,kau mikir kagak sampai situ dasar pekok.",hate,hate,hate
"USER USER USER USER USER USER USER USER USER USER USER Bukan sekedar taek, tapi taek kalipun",hate,not hate,not hate
USER Chindo pekok nek ngomong bikin rasis..itu mulutnya gak pernah di tapok sandal,hate,hate,hate
USER BANGSAAAATTT elu MNDING apUS sMUA TYping JAMET KONTOL lu ITU,hate,hate,hate
"USER Lah memang cuma atheis pekok aj nanya siapa yg ciptakan Tuhan, mereka bertanya bukan dasar ketidaktahuan, tapi karena ketololan
Beda itu ""gak tau"" dengan tolol

Ya kyk kau, kau itu tolol, udah d kasi tau kok mlah ngotot
🤣🤣🤭",hate,hate,hate
"Rajanya ngambil anak gue, anak gue cerita nya cowo, trs tuh anak di hasut benci sama gue anjir, gajelas bgt gue disana nangis2 bilang ke tu anak kalo gue emaknya😭 dan dia cuma ngomong kamu bukan ibuku!"" Bjirr kitati gue😭🤣 trus gue kebangun Karna congor tetangga gue😔""",not hate,not hate,not hate
Jancok cok cok cokkkkkk mending upload kapan2 pas dia udah balik cokkkk demi Allah gw udh gabisa posthink lagi sama lu USER,hate,not hate,hate
"Gak kabeh wong Meksiko iku ngono, tapi kebanyakan ngono kabeh. Jancok meteng koyok kucing, wayahe anake loro gak diurus kontl",hate,hate,hate
USER USER USER Yangbkebih dungu dan goblok kan looo... Galihat apa kinerja si yaman anies wong edan.. Kcuali jualan ngedabrus...,hate,hate,hate
"Terlalu mendo lek ku ngarani wong iki""",hate,not hate,hate
"USER USER Keluarga lagi berduka masih mikirin selfie, dokumentasi? Trus apa perlunya gitu lho netijen mempertanyakan itu. KOPLAK..!! 😄 Lagian ngapain jg dia yg seorang politikus ngurusin hubungan keluarga.. Politikus kok kayak Host Acara Gosip. LAMBE WEDOK 😄",hate,hate,hate
"USER Mbok ya udah, lha wong yg selama ini yg nge hujat kalo ibunya pak Jokowi itu Gerwani, bpk nya Jokowi itu PKI, Jokowi anti islam, plonga plongo, sontoloyo, Firaun juga di diemin. apa mrk lg pada libur? atau lg pd pake Topeng?",not hate,hate,not hate
"Males bgt kalau mau kerja. Tapi kalau udah kerja males bgt pulang. Apalagi habis shift malem setiap senin pagi, rabu pagi, jumat pagi. Jancok jalanan macet bgt 😭",not hate,not hate,not hate
"USER USER Lambe mu mas, protes konsumen terhadap langkah tegas perusahaan terhadap isu yg menerpa mbok anggep latah. Klo mau konsumsi produk2 tsb silakan saja",hate,not hate,hate
jancok i bolak balik pemadaman terus ae,not hate,not hate,not hate
"jancok solo anj goblok 
delete this twt tot! tanpa member lain ya ga ada bts tot dan lu ga kenal jungkook dasar sinting",hate,hate,hate
"JANCOK AKU LUPA ADA MAMA ANJINKKK MAU LIHAT MAMAAAA PANTES KOK ADA FOTO BARU ENHA RED CARPET TP AK GATAU, JIR LAH",not hate,not hate,not hate
USER Pekok kae lanangane…kakean gengsi. Orang sudah ikhlas ngasih stroller malah mikir yang aneh2. Orang modelan gt gosah dikasih hadiah lagi. Drpd nanti kesinggung marah2 merasa terhina.,hate,hate,hate
USER USER Optimis ae dlu tapi sambil ngomong jancok sedikit.,not hate,not hate,not hate
"Dasar pekok,, PSI partai nol koma sekarang jadi 2,8 itu kenaikan yang signifikan Duk, beda sama uban dari hasil survei yang 40% hasilnya 16% terjun bebas namanya, efek nyerang Jokowi.... Mikirrrr",hate,hate,hate
"USER OHHHHH AKU BARU BACA SECARA KESELURUHAN TWEETNYA DIA😭😭😭, udah gendeng ternyata dia, pantes agak² 🫠🫠🫠",hate,hate,hate
USER USER Kontol emang paling bener deactive aja USER base bajingan kaya kontol,hate,hate,hate
"Menjauhi masalah itu bukan berarti ga empati ya anjing, tp drpd aku edan dewe mikir e cok",hate,not hate,hate
"USER Harusnya kamu itu bersedih dan menangis, bukan malah makin memperkeruh suasana ... Cuk ... gemblung ... 🤭",hate,not hate,hate
"https://t.co/2k0blCyPBn Tentu saja ceramah ini sbnrnya kutujukan pada orang2 miskin semua. Baru saja 2 orang miskin berkata (( itu karena omonganmu )) Hlah aku ngomong pedes kan krn jutaan orang lewat depan rumahku, hanya utk memanggil AKU SAKIT JIWA ? GENDENG DLL",hate,not hate,hate
TADI UDA MOOD GRGR INI TOK JADI GAMOOD BANGSATTTTT TAI COK JANCOK AAAAAAAAAA FAK TAI,not hate,not hate,not hate
"USER Dasar dalam sepakbola bukan passing, fisik ataupun yg lain tpi saling respect antar pemain klo hal itu aja gabisa jangan maen bola jancok",hate,hate,hate
"USER Lohhh kirain cantik bgt makanya nyampe berpaling, soalnya istri pertama diborong semua cantik pinter soleha 😅 kirain spek bidadari gitu lohhhhh, picek yeuhh di bapak 😭",not hate,hate,hate
USER Oalah jancok dari star news,not hate,not hate,not hate
USER USER DPR tidak punya nyali menolak MK meloloskan Gibran anak sontoloyo ikut Cawapres.yg menurut UU blm cukup umur utk ikut Cawapres. DPR pura² kaget dgn masalah Cawapres yang melanggar https://t.co/ujRNZuWMKr depan Anggota dewan cukup orang² dari 4 partai di bw ini sj 👇👇👇👇 https://t.co/pXtI4RVRC9,hate,hate,hate
USER USER Duh kok rasis gini giliran disengol entar mewek mewek minta ampun dasar culun pekok sok pinter,hate,hate,hate
USER Emang lu sontoloyo plonga plongo https://t.co/qAYYE11hPx,hate,hate,hate
eh dia cuma mau nyapa anjing gausah bringas PLS elu liat ekspresi shocknya dasar GENDENG https://t.co/incbnSX6IY,hate,not hate,hate
USER USER KATA GUA SI AMOS MATANYA PICEK,hate,not hate,hate
DASAR GA KREATIF LUHKK!!! ITU ENDING GUA JANCOK NGAPA ELU COPY PASTE BAJINGANNNNNN,hate,hate,hate
USER orang sexy gitu dibilang kaya kakek2 tu mata lu picek kah,hate,hate,hate
selir gemblung 🥲 gue nangis ketawa https://t.co/iKkGhCKrpU,not hate,not hate,not hate
"USER Kumpulan maling didukung, dasar org pekok, otak Simpase kenyang tidur, lapar galak‼️",hate,hate,hate
"USER Ini terjadi di jaman Jokowi, yang melakuan aparat pemerintah, yang disalahkan HTI, FPI, wahabi dan salafi. 

Dasar pekok.",hate,hate,hate
"SEK TALAH JANCOK, JANE IKI WONG BANK MODEL OPO SE MOSOK DASAR PAJAK AE RA GENAH. ISO² NE KOEN LOLOS NDEK BANK BUMN",hate,hate,hate
mau nangis skrg blh ga bjir lah jancok,not hate,not hate,not hate
"USER Itu oknum becuk jancuk emang, dasar oknum jancuk",hate,hate,hate
USER Gemblung bahasa dari daerah mana? Baru dengerr,not hate,not hate,not hate
"USER Sestress itu kah ngurus negara, sampe punya kepribadian gendeng begini??😭😭",hate,not hate,hate
"USER Jdi laki manja bgt, hamil jug kaga. Bapak gua yg tiap hri masak, pulang kerja lngsung belanja fine fine aja, jdi laki bnyak cocot di sosmed tai",hate,hate,hate
"USER USER USER gak bisa dipungkiri hal hal beginian susah di filter, internet siapa saja bisa akses, mau salahin orang tua ya gimana ya, rata rata anak sendiri gendeng banget,dikasih tau nangis2 di awal doang abis tu ngulang lagi, mana masi sd lagi, udah jago banget mulutnya",not hate,not hate,not hate
udh dijelasin masih aja ngeyel padahal juga gapaham jancok,hate,hate,hate
"USER Ndasmu pak lahhh asal santun, ajaran gak bener ini",hate,hate,hate
USER Yang komen matanya pada picek,hate,hate,hate
USER 🙄 heh beneran ada mknan merk gemblung kah? 🤣🤣,not hate,not hate,not hate
sekali mau cerita malah diginiin asu https://t.co/Xs1pp2pMyK,not hate,not hate,not hate
Jujur lin u mikir apa sih pas ganti alamt. DASAR PEKOK😭😭😭,not hate,not hate,not hate
"pernah lagi anjing waktu SMA padahal cakepan juga gue, picek lu tolol",hate,hate,hate
"USER USER muka lu kek kontol dumdum, bego bgt jadi orang herannn",hate,hate,hate
"USER Belum tentu yang punya kendaraan plat B itu orang Jakarta, dasar gembel pekok.",hate,hate,hate
"pagi pagi app elon udah kirim email nyuruh verif, tapi error mulu dasar pekok",not hate,not hate,not hate
"Koe ki wedok ning cangkemme tau sekolah ra to? rasah ngaku2 sekolah bbc nek ming ngisin2i, bbc ra butuh mendes RT USER asu",hate,hate,hate
USER Nih ada kontol facum biar gak becek lagi.. 😋,not hate,not hate,not hate
sound town gw bekasi asu 😩😩,not hate,not hate,not hate
USER USER Jancok ngakak aku asyu 🤣🤣🤣,not hate,not hate,not hate
Parah banget jam segini nyanyi keras2 di dalam komplek perumahan 🗿 wong gendeng mahasiswa tapi otaknya kek ga sekolah,hate,hate,hate
"gue kan ada kelas pagi dan infonya jga baru bgt kan, jadinya gue mau mandi siap2 ke kampus dan sialnya air di kost gue abis, jadinya gue harus kasih tau ibu kost gue, setelahnya sambil nunggu air jln gue cek info lgi kan dan ternyata KELAS PAGI GUE INI ONLINE BUKAN OFFLINE JANCOK",not hate,not hate,not hate
"USER USER Atau pake bahasa I Misalnya Kimi kik jilik bingit, kiyik silit minyit""😭 https://t.co/QKORnaL4od""",not hate,not hate,not hate
"Jancok
Anjg
Eek
Kontl
Ya shibal shekiya
Ugh dasar bocah ngntdddd
Najisssss
Gendeng",hate,hate,hate
"USER USER USER Dasar pekok.asal ngebacot aja....
Kurang baca ini orang.
#AMINkanIndonesia",hate,hate,hate
"Anak bontot dari 3 bersaudara ini ga minta aneh2 ya allah, duekku akeh no ae ya allah, cek iso berbagi, cek iso liburan sg sue, cek iso munggahno kaji/umroh ibuku ambe mbak2 ku, cek iso nuku cangkeme wong2 sg bien nggae2 omongan ng keluargaku Amin",not hate,not hate,not hate
"Nah ini babiknya amrikiya. Yg nyuruh aneksasi dia, yg embargo gara2 aneksasi ya dia. Super jancok emang.",hate,hate,hate
"USER Dasar guoblook..., matamu picek, itu perempuan nggowo asu. Dasar tai asu..",hate,hate,hate
"👧🏻 Mas,aku kangen pengen dipeluk 👦🏻 Selama LDR peluk o kabel listrik sek dek,karna disitu ada getaran cintaku 👧🏻 Iyo mas kangene ilang, ilang sak nyowone ndeng gendeng 😑",not hate,not hate,not hate
"gua sma si USER klo ngobrol 11 12 beginih😭 alias bsa tbtb ding ding ba ding ding, wedus kethir, netes banyune kendi, wo ai ni, etc😭",not hate,not hate,not hate
"USER Wkwkwk asu. Pas merantau rasanya ga ikhlas tiap ambil duit kayak gak utuh. 100 jadi 98, 50 jadi 48. Kadang sehari bisa 3-5 kali parkir bayar 2 rban, akumulasi bisa habis 6000-10000 dalam sehari. Masih mending bantu mundurin. Lah ini malah dibiarin, tai emang",not hate,not hate,not hate
"katanya bakal mainin burung doang, kok pake dibunuh, dasar pekok",hate,hate,hate
Habis kerja rodi.. liburan buat kesehatan mentalnya dia(USER) malah gak dibolehin.. dasar ini plastik mbeling USER pancen provokator jancok plus netizen IQ jongkok negaralu nih rick USER 😑,hate,hate,hate
SUMPAH ANJING JELEK BAT JEDAG JEDUG SEMUA HAHAHA. tapi gappa hidup ini butuh jedag jedug di kala sedang jancok jancok https://t.co/vhg7HjoZ2t,not hate,not hate,not hate
USER kameraman mama jancok bet njir jadi ga bisa liat dance break hd😭🖕,not hate,not hate,not hate
"USER NO, AK DLU PRNAH DIPOSISI KM NDER, trs ak fb kan, ga lama di unfoll dasar jancok",not hate,not hate,not hate
Bajingan bajingan asam lambung kenapa harus naik jam segini tai,not hate,not hate,not hate
"USER USER USER Terus yg memdukung pembegal konstitusi itu pinter gitu..? Itu bukan lagi bego tapi gendeng alias edan ,otaknya error idiot...🖕🖕",hate,hate,hate
USER ada yg tanya diaa team taek ap jungpal dia jawab dia team jungbong 😭😭😭,not hate,not hate,not hate
USER USER Pelatih goblok udah kipernya asu malah Depan di masukin duta jalan sehat,hate,hate,hate
si nabil jancok ini KETAWA KENCENG BANGET SAMPE NANGIS BNR BNR MUKANYA MERAH JUANCOKKKKKK terus dibahas mulu tiap ketemu ama gw anjing DAN SAMTAIMS DIA NGEBAHAS di depan 2 org yg aku salah panggil🤗🤗 imejin cokkkk,not hate,not hate,not hate
Jancok dasar aki aki playing victim pet mati deh lo sana,hate,hate,hate
USER MAHITO LU KONTOL ANJING MEMEK NGENTOT TAIK BANGSAT,hate,hate,hate
pntes badannya bagus cok. abis kerja smpe malem ngegym.. gendeng,not hate,not hate,not hate
Apa kurang jelas tersangka dan provokator nya .. ?? Jelas jelas tersangkanya banyak. Yg bawa bendera Palestina yg hancurin ambulans kok ga masuk di daftar tersangka..?? Ketua Ormas sendiri yg menentang juga gak ditangkap dan dijadikan tersangka.. Polisi nya picek matanya,hate,hate,hate
USER USER USER USER USER Lah sejak jkw lawan prabowo yg menghina jkw kan pendukung prabowo jangan pura-pura lupa kamu ntar kebacut gendeng lho,hate,hate,hate
checo udah di drs zone GENDENG,not hate,not hate,not hate
